Accession	Type	Target	Description	Lab	link
ENCSR000BLE	immortalized cell line	FOXA1	FOXA1 ChIP-seq protocol v041610.1 on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BLE
ENCSR000BLF	immortalized cell line	HNF4A	HNF4A ChIP-seq protocol v041610.1 on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BLF
ENCSR000BLI	immortalized cell line	E2F6	E2F6 ChIP-seq protocol v041610.2 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BLI
ENCSR000BLK	immortalized cell line	SRF	SRF ChIP-seq protocol v041610.1 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BLK
ENCSR000BLM	immortalized cell line	EP300	EP300 ChIP-seq protocol v041610.2 on human T-47D treated with 0.02% DMSO	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BLM
ENCSR000BLO	immortalized cell line	GABPA	GABPA ChIP-seq protocol v041610.1 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BLO
ENCSR000BLP	immortalized cell line	MAX	MAX ChIP-seq protocol v041610.2 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BLP
ENCSR000BLR	immortalized cell line	SIN3A	SIN3A ChIP-seq protocol v041610.1 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BLR
ENCSR000BLS	immortalized cell line	RAD21	RAD21 ChIP-seq protocol v041610.1 on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BLS
ENCSR000BLT	immortalized cell line	YY1	YY1 ChIP-seq protocol v041610.1 on human GM12892	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BLT
ENCSR000BLU	stem cell	TAF7	TAF7 ChIP-seq protocol v041610.2 on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BLU
ENCSR000BLV	immortalized cell line	SRF	SRF ChIP-seq protocol v041610.1 on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BLV
ENCSR000BLW	immortalized cell line	EP300	EP300 ChIP-seq protocol v041610.1 on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BLW
ENCSR000BLX	immortalized cell line	CTCF	Control ChIP-seq (protocol v041610.2) on SK-N-SH treated with 6uM retinoic acid for 48 hours	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BLX
ENCSR000BLY	immortalized cell line	RAD21	RAD21 ChIP-seq (protocol v041610.2) on SK-N-SH treated with 6uM retinoic acid for 48 hours	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BLY
ENCSR000BLZ	immortalized cell line	YY1	YY1 ChIP-seq (protocol v041610.2) on SK-N-SH treated with 6uM retinoic acid for 48 hours	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BLZ
ENCSR000BMA	immortalized cell line	EP300	EP300 ChIP-seq (protocol v041610.2) on SK-N-SH treated with 6uM retinoic acid for 48 hours	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BMA
ENCSR000BMB	immortalized cell line	ELF1	ELF1 ChIP-seq protocol v041610.1 on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BMB
ENCSR000BMC	immortalized cell line	HDAC2	HDAC2 ChIP-seq protocol v041610.1 on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BMC
ENCSR000BMD	immortalized cell line	ELF1	ELF1 ChIP-seq protocol v041610.2 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BMD
ENCSR000BME	immortalized cell line	ZBTB7A	ZBTB7A ChIP-seq protocol v041610.1 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BME
ENCSR000BMF	immortalized cell line	USF1	USF1 ChIP-seq (protocol v041610.2) on SK-N-SH treated with 6uM retinoic acid for 48 hours	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BMF
ENCSR000BMG	immortalized cell line	HDAC2	HDAC2 ChIP-seq protocol v041610.2 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BMG
ENCSR000BMH	immortalized cell line	YY1	YY1 ChIP-seq protocol v041610.2 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BMH
ENCSR000BML	immortalized cell line	POLR2A	POLR2AphosphoS5 ChIP-seq protocol v041610.1 on human HCT-116	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BML
ENCSR000BMN	immortalized cell line	REST	REST ChIP-seq protocol PCR1x on human HeLa-S3	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BMN
ENCSR000BMO	immortalized cell line	FOXA1	FOXA1 ChIP-seq protocol v041610.1 on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BMO
ENCSR000BMR	immortalized cell line	POLR2A	POLR2A ChIP-seq protocol v041610.1 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BMR
ENCSR000BMT	stem cell	NANOG	NANOG ChIP-seq protocol v041610.2 on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BMT
ENCSR000BMU	stem cell	POU5F1	POU5F1 ChIP-seq protocol v041610.2 on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BMU
ENCSR000BMV	immortalized cell line	FOSL1	FOSL1 ChIP-seq protocol v041610.1 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BMV
ENCSR000BMW	immortalized cell line	REST	REST ChIP-seq protocol v041610.2 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BMW
ENCSR000BMX	immortalized cell line	GATA3	FOXA2 ChIP-seq (protocol v041610.2) on T-47D treated with dimethylsulfoxide at 0.02%	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BMX
ENCSR000BMY	immortalized cell line	RAD21	RAD21 ChIP-seq protocol v041610.1 on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BMY
ENCSR000BMZ	immortalized cell line	ELF1	ELF1 ChIP-seq protocol v041610.1 on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BMZ
ENCSR000BND	immortalized cell line	ZEB1	ZEB1 ChIP-seq protocol v041610.2 on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BND
ENCSR000BNE	immortalized cell line	EGR1	EGR1 ChIP-seq protocol v041610.1 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BNE
ENCSR000BNG	immortalized cell line	MEF2C	MEF2C ChIP-seq protocol v041610.1 on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BNG
ENCSR000BNH	stem cell	CTCF	CTCF ChIP-seq protocol v041610.2 on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BNH
ENCSR000BNI	immortalized cell line	FOXA2	FOXA2 ChIP-seq protocol v041610.1 on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BNI
ENCSR000BNJ	immortalized cell line	HNF4G	HNF4G ChIP-seq protocol v041610.1 on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BNJ
ENCSR000BNK	immortalized cell line	CTCFL	CTCFL ChIP-seq protocol v041610.1 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BNK
ENCSR000BNL	immortalized cell line	SP2	SP2 ChIP-seq protocol v041610.2 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BNL
ENCSR000BNM	immortalized cell line	TAF7	TAF7 ChIP-seq protocol v041610.1 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BNM
ENCSR000BNN	immortalized cell line	THAP1	THAP1 ChIP-seq protocol v041610.1 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BNN
ENCSR000BNO	immortalized cell line	CTCF	CTCF ChIP-seq (protocol v041610.2) on T-47D treated with dimethylsulfoxide at 0.02%	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BNO
ENCSR000BNP	immortalized cell line	YY1	YY1 ChIP-seq protocol PCR1x on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BNP
ENCSR000BNQ	immortalized cell line	BCL3	BCL3 ChIP-seq protocol v041610.1 on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BNQ
ENCSR000BNR	stem cell	HDAC2	HDAC2 ChIP-seq protocol v041610.2 on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BNR
ENCSR000BNS	stem cell	FOSL1	FOSL1 ChIP-seq protocol v041610.2 on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BNS
ENCSR000BNT	immortalized cell line	YY1	YY1 ChIP-seq protocol v041610.1 on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BNT
ENCSR000BNU	immortalized cell line	ATF3	ATF3 ChIP-seq protocol v041610.1 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BNU
ENCSR000BNV	immortalized cell line	MEF2A	MEF2A ChIP-seq protocol v041610.1 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BNV
ENCSR000BNX	immortalized cell line	YY1	YY1 ChIP-seq protocol v041610.1 on human HCT-116	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BNX
ENCSR000BNY	immortalized cell line	ZBTB33	ZBTB33 ChIP-seq protocol v041610.1 on human HCT-116	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BNY
ENCSR000BOA	immortalized cell line	POLR2A	POLR2AphosphoS5 ChIP-seq protocol v041610.1 on human U87	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BOA
ENCSR000BOT	immortalized cell line	REST	REST ChIP-seq protocol v041610.1 on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BOT
ENCSR000BOU	immortalized cell line	SP2	SP2 ChIP-seq protocol v042211.1 on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BOU
ENCSR000BOV	immortalized cell line	POLR2A	POLR2AphosphoS5 ChIP-seq protocol v041610.1 on human PANC-1	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BOV
ENCSR000BOW	immortalized cell line	SIN3A	SIN3A ChIP-seq protocol v041610.1 on human PANC-1	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BOW
ENCSR000BOY	immortalized cell line	SIN3A	SIN3A ChIP-seq protocol v041610.1 on human PFSK-1	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BOY
ENCSR000BOZ	immortalized cell line	REST	REST ChIP-seq protocol v041610.1 on human SK-N-SH	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BOZ
ENCSR000BPA	immortalized cell line	POLR2A	POLR2AphosphoS5 ChIP-seq protocol v041610.1 on human SK-N-SH	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BPA
ENCSR000BPB	immortalized cell line	SIN3A	SIN3A ChIP-seq protocol v041610.1 on human SK-N-SH	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BPB
ENCSR000BPF	immortalized cell line	TAF1	TAF1 ChIP-seq (protocol v042211.1) on A549 treated with ethanol at 0.02%	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BPF
ENCSR000BPI	immortalized cell line	POLR2A	POLR2AphosphoS5 ChIP-seq protocol v041610.2 on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BPI
ENCSR000BPJ	immortalized cell line	CTCF	CTCF ChIP-seq protocol PCR1x on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BPJ
ENCSR000BPL	immortalized cell line	POLR2A	POLR2AphosphoS5 ChIP-seq protocol v041610.1 on human SK-N-MC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BPL
ENCSR000BPM	immortalized cell line	YY1	YY1 ChIP-seq (protocol v042211.1) on A549 treated with ethanol at 0.02%	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BPM
ENCSR000BPS	immortalized cell line	ATF3	ATF3 ChIP-seq (protocol v042211.1) on A549 treated with ethanol at 0.02%	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BPS
ENCSR000BPT	immortalized cell line	ELF1	ELF1 ChIP-seq (protocol v042211.1) on A549 treated with ethanol at 0.02%	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BPT
ENCSR000BPU	immortalized cell line	ETS1	ETS1 ChIP-seq (protocol v042211.1) on A549 treated with ethanol at 0.02%	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BPU
ENCSR000BPV	immortalized cell line	USF1	USF1 ChIP-seq (protocol v042211.1) on A549 treated with ethanol at 0.02%	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BPV
ENCSR000BPW	immortalized cell line	EP300	EP300 ChIP-seq (protocol v042211.1) on A549 treated with ethanol at 0.02%	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BPW
ENCSR000BPX	immortalized cell line	FOXA1	FOXA1 ChIP-seq (protocol v041610.2) on A549 treated with dexamethasone at 100nM	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BPX
ENCSR000BPY	immortalized cell line	GABPA	GAbisphenol A ChIP-seq (protocol v042211.1) on A549 treated with ethanol at 0.02%	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BPY
ENCSR000BPZ	immortalized cell line	ZBTB33	ZBTB33 ChIP-seq (protocol v042211.1) on A549 treated with ethanol at 0.02%	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BPZ
ENCSR000BQA	immortalized cell line	ZBTB7A	ZBTB7A ChIP-seq protocol v041610.1 on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BQA
ENCSR000BQB	primary cell	POLR2A	POLR2A ChIP-seq protocol PCR1x on human HUVEC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BQB
ENCSR000BQC	primary cell	POLR2A	POLR2AphosphoS5 ChIP-seq protocol v041610.1 on human HUVEC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BQC
ENCSR000BQD	immortalized cell line	ESR1	ESR1 ChIP-seq (protocol v041610.2) on T-47D treated with bisphenol A at 100nM	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BQD
ENCSR000BQE	immortalized cell line	CTCF	CTCF ChIP-seq (protocol v041610.2) on ECC-1 treated with dimethylsulfoxide at 0.02%. Note- This experiment previously referred to its biosample as ECC-1, however it has been found that all currently available ECC-1 are actually Ishikawa cells.	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BQE
ENCSR000BQF	immortalized cell line	TAF1	TAF1 ChIP-seq protocol v041610.1 on human SK-N-SH	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BQF
ENCSR000BQG	stem cell	SP2	SP2 ChIP-seq protocol v042211.1 on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BQG
ENCSR000BQH	immortalized cell line	BCL3	BCL3 ChIP-seq (protocol v042211.1) on A549 treated with ethanol at 0.02%	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BQH
ENCSR000BQI	immortalized cell line	CEBPB	CEBPB ChIP-seq protocol v041610.1 on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BQI
ENCSR000BQJ	immortalized cell line	CEBPD	CEBPD ChIP-seq protocol v041610.1 on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BQJ
ENCSR000BQK	immortalized cell line	ATF2	ATF2 ChIP-seq protocol v042211.1 on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BQK
ENCSR000BQL	immortalized cell line	NFATC1	NFATC1 ChIP-seq protocol v042211.1 on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BQL
ENCSR000BQM	immortalized cell line	PML	PML ChIP-seq protocol v042211.1 on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BQM
ENCSR000BQN	immortalized cell line	TAF1	TAF1 ChIP-seq protocol v041610.1 on human PFSK-1	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BQN
ENCSR000BQO	immortalized cell line	FOSL2	FOSL2 ChIP-seq (protocol v042211.1) on A549 treated with ethanol at 0.02%	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BQO
ENCSR000BQP	immortalized cell line	REST	REST ChIP-seq (protocol v042211.1) on A549 treated with ethanol at 0.02%	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BQP
ENCSR000BQQ	immortalized cell line	TCF12	TCF12 ChIP-seq (protocol v042211.1) on A549 treated with ethanol at 0.02%	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BQQ
ENCSR000BQR	immortalized cell line	ESR1	ESR1 ChIP-seq (protocol v041610.2) on Ishikawa cells treated with bisphenol A 100nM.  Note- This experiment previously referred to its biosample as ECC-1, however it has been found that all currently available ECC-1 are actually Ishikawa cells.	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BQR
ENCSR000BQS	immortalized cell line	REST	REST ChIP-seq protocol PCR1x on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BQS
ENCSR000BQT	immortalized cell line	TCF3	TCF3 ChIP-seq protocol PCR1x on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BQT
ENCSR000BQU	stem cell	ATF2	ATF2 ChIP-seq protocol v042211.1 on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BQU
ENCSR000BQV	stem cell	SP4	SP4 ChIP-seq protocol v042211.1 on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BQV
ENCSR000BQW	immortalized cell line	MBD4	MBD4 ChIP-seq protocol v042211.1 on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BQW
ENCSR000BQX	immortalized cell line	NFIC	NFIC ChIP-seq protocol v042211.1 on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BQX
ENCSR000BQY	immortalized cell line	PML	PML ChIP-seq protocol v042211.1 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BQY
ENCSR000BQZ	immortalized cell line	STAT5A	STAT5A ChIP-seq protocol v042211.1 on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BQZ
ENCSR000BRB	immortalized cell line	CREB1	CREB1 ChIP-seq (protocol v041610.2) on A549 treated with dexamethasone at 100nM	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BRB
ENCSR000BRG	immortalized cell line	EGR1	EGR1 ChIP-seq protocol PCR2x on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BRG
ENCSR000BRH	immortalized cell line	MTA3	MTA3 ChIP-seq protocol v042211.1 on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BRH
ENCSR000BRI	immortalized cell line	RUNX3	RUNX3 ChIP-seq protocol v042211.1 on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BRI
ENCSR000BRK	immortalized cell line	TEAD4	TEAD4 ChIP-seq protocol v042211.1 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BRK
ENCSR000BRL	immortalized cell line	SIX5	SIX5 ChIP-seq (protocol v042211.1) on A549 treated with ethanol at 0.02%	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BRL
ENCSR000BRM	immortalized cell line	SIN3A	SIN3A ChIP-seq (protocol v042211.1) on A549 treated with ethanol at 0.02%	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BRM
ENCSR000BRN	immortalized cell line	NFIC	NFIC ChIP-seq protocol v042211.1 on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BRN
ENCSR000BRO	immortalized cell line	MYBL2	MYBL2 ChIP-seq protocol v042211.1 on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BRO
ENCSR000BRP	immortalized cell line	TEAD4	TEAD4 ChIP-seq protocol v042211.1 on human HepG2	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BRP
ENCSR000BRQ	immortalized cell line	CEBPB	CEBPB ChIP-seq protocol v042211.1 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BRQ
ENCSR000BRR	immortalized cell line	STAT5A	STAT5A ChIP-seq protocol v042211.1 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BRR
ENCSR000BRS	immortalized cell line	NR2F2	NR2F2 ChIP-seq protocol v042211.1 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BRS
ENCSR000BRT	immortalized cell line	CBX3	CBX3 ChIP-seq protocol v042211.1 on human K562	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BRT
ENCSR000BRU	immortalized cell line	FOXM1	FOXM1 ChIP-seq protocol v042211.1 on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BRU
ENCSR000BRX	immortalized cell line	CEBPB	CEBPB ChIP-seq protocol v042211.1 on human GM12878	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BRX
ENCSR000BRY	stem cell	TEAD4	TEAD4 ChIP-seq protocol v042211.1 on human H1-hESC	Richard Myers, HAIB	https://www.encodeproject.org/experiments/ENCSR000BRY
ENCSR000DJW	immortalized cell line	NR4A1	NR4A1 ChIP-seq on human K562 eGFP-NR4A1	Kevin White, UChicago	https://www.encodeproject.org/experiments/ENCSR000DJW
ENCSR000DJX	immortalized cell line	JUND	JUND ChIP-seq on human K562 eGFP-JunD	Kevin White, UChicago	https://www.encodeproject.org/experiments/ENCSR000DJX
ENCSR000DJY	immortalized cell line	JUNB	JUNB ChIP-seq on human K562 eGFP-JunB	Kevin White, UChicago	https://www.encodeproject.org/experiments/ENCSR000DJY
ENCSR000DJZ	immortalized cell line	HDAC8	HDAC8 ChIP-seq on human K562 eGFP-HDAC8	Kevin White, UChicago	https://www.encodeproject.org/experiments/ENCSR000DJZ
ENCSR000DKA	immortalized cell line	GATA2	GATA2 ChIP-seq on human K562 eGFP-GATA2	Kevin White, UChicago	https://www.encodeproject.org/experiments/ENCSR000DKA
ENCSR000DKB	immortalized cell line	FOS	FOS ChIP-seq on human K562 eGFP-FOS	Kevin White, UChicago	https://www.encodeproject.org/experiments/ENCSR000DKB
ENCSR000DKL	primary cell	CTCF	CTCF ChIP-seq on human Fibrobl	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DKL
ENCSR000DKM	immortalized cell line	POLR2A	POLR2A ChIP-seq on human Gliobla	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DKM
ENCSR000DKN	immortalized cell line	CTCF	CTCF ChIP-seq on human Gliobla	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DKN
ENCSR000DKP	immortalized cell line	CTCF	CTCF ChIP-seq on human GM10248	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DKP
ENCSR000DKR	immortalized cell line	CTCF	CTCF ChIP-seq on human GM10266	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DKR
ENCSR000DKT	immortalized cell line	POLR2A	POLR2A ChIP-seq on human GM12878	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DKT
ENCSR000DKU	immortalized cell line	MYC	MYC ChIP-seq on human GM12878	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DKU
ENCSR000DKV	immortalized cell line	CTCF	CTCF ChIP-seq on human GM12878	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DKV
ENCSR000DKX	immortalized cell line	CTCF	CTCF ChIP-seq on human GM12891	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DKX
ENCSR000DKY	immortalized cell line	CTCF	CTCF ChIP-seq on human GM12892	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DKY
ENCSR000DKZ	immortalized cell line	CTCF	CTCF ChIP-seq on human GM13976	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DKZ
ENCSR000DLB	immortalized cell line	CTCF	CTCF ChIP-seq on human GM13977	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DLB
ENCSR000DLD	immortalized cell line	CTCF	CTCF ChIP-seq on human GM19238	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DLD
ENCSR000DLE	immortalized cell line	CTCF	CTCF ChIP-seq on human GM19239	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DLE
ENCSR000DLF	immortalized cell line	CTCF	CTCF ChIP-seq on human GM19240	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DLF
ENCSR000DLG	immortalized cell line	CTCF	CTCF ChIP-seq on human GM20000	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DLG
ENCSR000DLI	stem cell	MYC	MYC ChIP-seq on human H1-hESC	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DLI
ENCSR000DLJ	stem cell	POLR2A	POLR2A ChIP-seq on human H1-hESC	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DLJ
ENCSR000DLK	stem cell	CTCF	CTCF ChIP-seq on human H1-hESC	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DLK
ENCSR000DLM	immortalized cell line	POLR2A	POLR2A ChIP-seq on human HeLa-S3	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DLM
ENCSR000DLN	immortalized cell line	MYC	MYC ChIP-seq on human HeLa-S3	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DLN
ENCSR000DLO	immortalized cell line	CTCF	CTCF ChIP-seq on human HeLa-S3	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DLO
ENCSR000DLQ	immortalized cell line	POLR2A	POLR2A ChIP-seq on human HepG2	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DLQ
ENCSR000DLR	immortalized cell line	MYC	MYC ChIP-seq on human HepG2	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DLR
ENCSR000DLS	immortalized cell line	CTCF	CTCF ChIP-seq on human HepG2	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DLS
ENCSR000DLU	primary cell	MYC	MYC ChIP-seq on human HUVEC	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DLU
ENCSR000DLV	primary cell	POLR2A	POLR2A ChIP-seq on human HUVEC	Vishwanath Iyer, UTA	https://www.encodeproject.org/experiments/ENCSR000DLV
